filename,is_structured,num_boundary_reactions,total_reactions,num_imbalanced_reactions,num_balanced_reactions,frac_balanced_reactions,frac_Boundary_reactions
BIOMD0000000100_url.xml,False,5,10,10,0,0.0,0.5
BIOMD0000000355_url.xml,True,12,17,17,0,0.0,0.7058823529411765
BIOMD0000000413_url.xml,False,4,9,9,0,0.0,0.4444444444444444
BIOMD0000000594_url.xml,True,0,120,120,0,0.0,0.0
BIOMD0000000354_url.xml,False,6,11,11,0,0.0,0.5454545454545454
BIOMD0000000582_url.xml,True,14,41,41,0,0.0,0.34146341463414637
BIOMD0000000177_url.xml,False,0,21,21,0,0.0,0.0
BIOMD0000000597_url.xml,False,51,56,56,0,0.0,0.9107142857142857
BIOMD0000000633_url.xml,True,2,35,35,0,0.0,0.05714285714285714
BIOMD0000000192_url.xml,True,0,9,9,0,0.0,0.0
BIOMD0000000557_url.xml,True,4,22,22,0,0.0,0.18181818181818182
BIOMD0000000448_url.xml,False,0,34,34,0,0.0,0.0
BIOMD0000000226_url.xml,False,0,24,24,0,0.0,0.0
BIOMD0000000158_url.xml,False,5,6,6,0,0.0,0.8333333333333334
BIOMD0000000068_url.xml,False,0,3,3,0,0.0,0.0
BIOMD0000000007_url.xml,False,8,25,25,0,0.0,0.32
BIOMD0000000172_url.xml,False,0,19,19,0,0.0,0.0
BIOMD0000000214_url.xml,False,17,24,24,0,0.0,0.7083333333333334
BIOMD0000000224_url.xml,False,4,6,6,0,0.0,0.6666666666666666
BIOMD0000000169_url.xml,False,18,27,27,0,0.0,0.6666666666666666
BIOMD0000000114_url.xml,False,2,4,4,0,0.0,0.5
BIOMD0000000164_url.xml,True,1,29,29,0,0.0,0.034482758620689655
BIOMD0000000244_url.xml,False,86,109,109,0,0.0,0.7889908256880734
BIOMD0000000422_url.xml,False,0,43,43,0,0.0,0.0
BIOMD0000000563_url.xml,True,5,15,15,0,0.0,0.3333333333333333
BIOMD0000000501_url.xml,False,0,57,57,0,0.0,0.0
BIOMD0000000397_url.xml,False,0,29,29,0,0.0,0.0
BIOMD0000000248_url.xml,False,1,5,5,0,0.0,0.2
BIOMD0000000159_url.xml,False,5,6,6,0,0.0,0.8333333333333334
BIOMD0000000652_url.xml,False,0,63,63,0,0.0,0.0
BIOMD0000000450_url.xml,True,16,74,74,0,0.0,0.21621621621621623
BIOMD0000000439_url.xml,False,3,21,21,0,0.0,0.14285714285714285
BIOMD0000000261_url.xml,False,0,29,29,0,0.0,0.0
BIOMD0000000500_url.xml,True,0,18,18,0,0.0,0.0
BIOMD0000000216_url.xml,False,10,17,17,0,0.0,0.5882352941176471
BIOMD0000000598_url.xml,False,51,56,56,0,0.0,0.9107142857142857
BIOMD0000000063_url.xml,False,1,8,8,0,0.0,0.125
BIOMD0000000085_url.xml,False,0,17,17,0,0.0,0.0
BIOMD0000000236_url.xml,True,1,4,4,0,0.0,0.25
BIOMD0000000388_url.xml,False,2,7,7,0,0.0,0.2857142857142857
BIOMD0000000432_url.xml,False,0,10,10,0,0.0,0.0
BIOMD0000000408_url.xml,False,0,9,9,0,0.0,0.0
BIOMD0000000044_url.xml,False,3,8,8,0,0.0,0.375
BIOMD0000000446_url.xml,False,59,62,62,0,0.0,0.9516129032258065
BIOMD0000000001_url.xml,False,0,17,17,0,0.0,0.0
BIOMD0000000310_url.xml,False,4,6,6,0,0.0,0.6666666666666666
BIOMD0000000090_url.xml,True,3,21,21,0,0.0,0.14285714285714285
BIOMD0000000471_url.xml,False,0,282,282,0,0.0,0.0
BIOMD0000000110_url.xml,False,14,22,22,0,0.0,0.6363636363636364
BIOMD0000000590_url.xml,False,12,20,20,0,0.0,0.6
BIOMD0000000546_url.xml,False,0,5,5,0,0.0,0.0
BIOMD0000000117_url.xml,False,3,6,6,0,0.0,0.5
BIOMD0000000380_url.xml,False,0,8,8,0,0.0,0.0
BIOMD0000000605_url.xml,False,34,58,58,0,0.0,0.5862068965517241
BIOMD0000000537_url.xml,True,31,73,73,0,0.0,0.4246575342465753
BIOMD0000000461_url.xml,False,0,3,3,0,0.0,0.0
BIOMD0000000213_url.xml,False,0,12,12,0,0.0,0.0
BIOMD0000000387_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000247_url.xml,False,0,25,25,0,0.0,0.0
BIOMD0000000006_url.xml,False,0,3,3,0,0.0,0.0
BIOMD0000000067_url.xml,False,8,13,13,0,0.0,0.6153846153846154
BIOMD0000000630_url.xml,False,9,14,14,0,0.0,0.6428571428571429
BIOMD0000000305_url.xml,True,0,4,4,0,0.0,0.0
BIOMD0000000004_url.xml,False,3,7,7,0,0.0,0.42857142857142855
BIOMD0000000613_url.xml,False,46,58,58,0,0.0,0.7931034482758621
BIOMD0000000314_url.xml,True,2,12,12,0,0.0,0.16666666666666666
BIOMD0000000011_url.xml,False,0,30,30,0,0.0,0.0
BIOMD0000000022_url.xml,False,0,32,32,0,0.0,0.0
BIOMD0000000101_url.xml,True,6,13,13,0,0.0,0.46153846153846156
BIOMD0000000017_url.xml,False,0,14,14,0,0.0,0.0
BIOMD0000000212_url.xml,False,0,18,18,0,0.0,0.0
BIOMD0000000290_url.xml,False,11,12,12,0,0.0,0.9166666666666666
BIOMD0000000306_url.xml,False,6,8,8,0,0.0,0.75
BIOMD0000000037_url.xml,False,4,12,12,0,0.0,0.3333333333333333
BIOMD0000000171_url.xml,False,16,26,26,0,0.0,0.6153846153846154
BIOMD0000000472_url.xml,False,0,282,282,0,0.0,0.0
BIOMD0000000200_url.xml,False,0,34,34,0,0.0,0.0
BIOMD0000000048_url.xml,False,0,25,25,0,0.0,0.0
BIOMD0000000176_url.xml,False,0,19,19,0,0.0,0.0
BIOMD0000000536_url.xml,True,27,66,66,0,0.0,0.4090909090909091
BIOMD0000000487_url.xml,False,0,6,6,0,0.0,0.0
BIOMD0000000121_url.xml,False,0,5,5,0,0.0,0.0
BIOMD0000000163_url.xml,True,6,26,26,0,0.0,0.23076923076923078
BIOMD0000000058_url.xml,False,10,11,11,0,0.0,0.9090909090909091
BIOMD0000000069_url.xml,True,0,7,7,0,0.0,0.0
BIOMD0000000019_url.xml,False,1,125,125,0,0.0,0.008
BIOMD0000000656_url.xml,False,0,62,62,0,0.0,0.0
MODEL0911120000_url.xml,True,11,18,18,0,0.0,0.6111111111111112
BIOMD0000000257_url.xml,False,3,11,11,0,0.0,0.2727272727272727
BIOMD0000000356_url.xml,True,1,64,64,0,0.0,0.015625
BIOMD0000000010_url.xml,True,0,10,10,0,0.0,0.0
BIOMD0000000230_url.xml,False,0,64,64,0,0.0,0.0
BIOMD0000000502_url.xml,False,2,11,11,0,0.0,0.18181818181818182
BIOMD0000000096_url.xml,False,34,46,46,0,0.0,0.7391304347826086
BIOMD0000000294_url.xml,False,12,26,26,0,0.0,0.46153846153846156
BIOMD0000000232_url.xml,False,2,12,12,0,0.0,0.16666666666666666
BIOMD0000000178_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000460_url.xml,False,0,3,3,0,0.0,0.0
BIOMD0000000123_url.xml,True,0,17,17,0,0.0,0.0
BIOMD0000000319_url.xml,False,2,4,4,0,0.0,0.5
BIOMD0000000438_url.xml,False,0,7,7,0,0.0,0.0
BIOMD0000000629_url.xml,False,0,2,2,0,0.0,0.0
BIOMD0000000145_url.xml,True,10,11,11,0,0.0,0.9090909090909091
BIOMD0000000534_url.xml,True,30,71,71,0,0.0,0.4225352112676056
BIOMD0000000463_url.xml,False,17,50,50,0,0.0,0.34
BIOMD0000000038_url.xml,False,0,10,10,0,0.0,0.0
BIOMD0000000258_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000468_url.xml,False,0,74,74,0,0.0,0.0
BIOMD0000000490_url.xml,True,37,66,66,0,0.0,0.5606060606060606
BIOMD0000000412_url.xml,False,0,56,56,0,0.0,0.0
BIOMD0000000201_url.xml,False,27,33,33,0,0.0,0.8181818181818182
BIOMD0000000399_url.xml,False,1,125,125,0,0.0,0.008
BIOMD0000000445_url.xml,False,59,64,64,0,0.0,0.921875
BIOMD0000000170_url.xml,False,11,17,17,0,0.0,0.6470588235294118
BIOMD0000000217_url.xml,False,0,16,16,0,0.0,0.0
BIOMD0000000455_url.xml,False,0,5,5,0,0.0,0.0
BIOMD0000000351_url.xml,False,8,12,12,0,0.0,0.6666666666666666
BIOMD0000000029_url.xml,False,0,7,7,0,0.0,0.0
BIOMD0000000027_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000436_url.xml,False,6,22,22,0,0.0,0.2727272727272727
BIOMD0000000092_url.xml,False,0,3,3,0,0.0,0.0
BIOMD0000000624_url.xml,True,0,5,5,0,0.0,0.0
BIOMD0000000486_url.xml,False,0,2,2,0,0.0,0.0
BIOMD0000000115_url.xml,False,2,5,5,0,0.0,0.4
BIOMD0000000025_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000466_url.xml,False,0,28,28,0,0.0,0.0
BIOMD0000000051_url.xml,False,30,48,48,0,0.0,0.625
BIOMD0000000047_url.xml,True,0,3,3,0,0.0,0.0
BIOMD0000000208_url.xml,False,12,15,15,0,0.0,0.8
BIOMD0000000289_url.xml,False,11,12,12,0,0.0,0.9166666666666666
BIOMD0000000040_url.xml,False,0,5,5,0,0.0,0.0
BIOMD0000000056_url.xml,False,35,94,94,0,0.0,0.3723404255319149
BIOMD0000000506_url.xml,False,4,59,59,0,0.0,0.06779661016949153
BIOMD0000000283_url.xml,False,0,2,2,0,0.0,0.0
BIOMD0000000206_url.xml,False,3,11,11,0,0.0,0.2727272727272727
BIOMD0000000480_url.xml,False,32,88,88,0,0.0,0.36363636363636365
BIOMD0000000313_url.xml,True,5,16,16,0,0.0,0.3125
BIOMD0000000580_url.xml,True,0,26,26,0,0.0,0.0
BIOMD0000000147_url.xml,True,14,51,51,0,0.0,0.27450980392156865
BIOMD0000000518_url.xml,False,4,9,9,0,0.0,0.4444444444444444
BIOMD0000000328_url.xml,True,0,29,29,0,0.0,0.0
BIOMD0000000255_url.xml,False,0,827,827,0,0.0,0.0
BIOMD0000000033_url.xml,False,0,26,26,0,0.0,0.0
BIOMD0000000066_url.xml,False,0,7,7,0,0.0,0.0
BIOMD0000000284_url.xml,False,0,8,8,0,0.0,0.0
BIOMD0000000237_url.xml,False,0,31,31,0,0.0,0.0
BIOMD0000000595_url.xml,False,0,1490,1490,0,0.0,0.0
BIOMD0000000196_url.xml,True,3,13,13,0,0.0,0.23076923076923078
BIOMD0000000545_url.xml,False,3,10,10,0,0.0,0.3
BIOMD0000000334_url.xml,True,0,66,66,0,0.0,0.0
BIOMD0000000572_url.xml,True,0,21,21,0,0.0,0.0
BIOMD0000000083_url.xml,False,40,57,57,0,0.0,0.7017543859649122
BIOMD0000000160_url.xml,False,35,41,41,0,0.0,0.8536585365853658
BIOMD0000000604_url.xml,False,34,54,54,0,0.0,0.6296296296296297
BIOMD0000000479_url.xml,False,3,44,44,0,0.0,0.06818181818181818
BIOMD0000000437_url.xml,True,0,40,40,0,0.0,0.0
MODEL0404023805_url.xml,True,92,806,806,0,0.0,0.1141439205955335
BIOMD0000000587_url.xml,False,7,23,23,0,0.0,0.30434782608695654
BIOMD0000000296_url.xml,False,0,8,8,0,0.0,0.0
BIOMD0000000363_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000619_url.xml,False,0,13,13,0,0.0,0.0
BIOMD0000000281_url.xml,False,0,22,22,0,0.0,0.0
BIOMD0000000353_url.xml,True,0,9,9,0,0.0,0.0
BIOMD0000000583_url.xml,True,10,30,30,0,0.0,0.3333333333333333
BIOMD0000000071_url.xml,False,1,14,14,0,0.0,0.07142857142857142
BIOMD0000000222_url.xml,False,0,11,11,0,0.0,0.0
BIOMD0000000260_url.xml,False,0,29,29,0,0.0,0.0
BIOMD0000000453_url.xml,True,0,117,117,0,0.0,0.0
BIOMD0000000484_url.xml,False,0,2,2,0,0.0,0.0
BIOMD0000000309_url.xml,False,2,4,4,0,0.0,0.5
BIOMD0000000564_url.xml,False,37,38,38,0,0.0,0.9736842105263158
BIOMD0000000045_url.xml,False,0,8,8,0,0.0,0.0
BIOMD0000000541_url.xml,False,0,30,30,0,0.0,0.0
BIOMD0000000423_url.xml,False,0,11,11,0,0.0,0.0
BIOMD0000000265_url.xml,False,28,52,52,0,0.0,0.5384615384615384
BIOMD0000000282_url.xml,False,0,3,3,0,0.0,0.0
BIOMD0000000467_url.xml,False,0,24,24,0,0.0,0.0
BIOMD0000000540_url.xml,False,0,11,11,0,0.0,0.0
BIOMD0000000021_url.xml,False,14,24,24,0,0.0,0.5833333333333334
BIOMD0000000389_url.xml,False,0,18,18,0,0.0,0.0
BIOMD0000000473_url.xml,False,0,298,298,0,0.0,0.0
BIOMD0000000149_url.xml,False,7,33,33,0,0.0,0.21212121212121213
BIOMD0000000065_url.xml,False,12,16,16,0,0.0,0.75
BIOMD0000000311_url.xml,False,3,5,5,0,0.0,0.6
BIOMD0000000576_url.xml,True,0,52,52,0,0.0,0.0
BIOMD0000000102_url.xml,True,13,28,28,0,0.0,0.4642857142857143
BIOMD0000000485_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000016_url.xml,False,0,10,10,0,0.0,0.0
BIOMD0000000384_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000259_url.xml,False,0,29,29,0,0.0,0.0
BIOMD0000000053_url.xml,False,4,12,12,0,0.0,0.3333333333333333
BIOMD0000000654_url.xml,False,0,63,63,0,0.0,0.0
BIOMD0000000173_url.xml,True,0,26,26,0,0.0,0.0
MODEL0403888565_url.xml,True,92,805,805,0,0.0,0.11428571428571428
BIOMD0000000441_url.xml,False,0,10,10,0,0.0,0.0
BIOMD0000000075_url.xml,True,1,8,8,0,0.0,0.125
BIOMD0000000165_url.xml,True,2,30,30,0,0.0,0.06666666666666667
BIOMD0000000535_url.xml,True,30,71,71,0,0.0,0.4225352112676056
BIOMD0000000041_url.xml,False,0,9,9,0,0.0,0.0
BIOMD0000000632_url.xml,False,10,14,14,0,0.0,0.7142857142857143
BIOMD0000000166_url.xml,False,6,9,9,0,0.0,0.6666666666666666
BIOMD0000000429_url.xml,False,5,16,16,0,0.0,0.3125
BIOMD0000000547_url.xml,False,2,14,14,0,0.0,0.14285714285714285
BIOMD0000000032_url.xml,False,2,47,47,0,0.0,0.0425531914893617
BIOMD0000000270_url.xml,True,0,42,42,0,0.0,0.0
BIOMD0000000492_url.xml,False,0,88,88,0,0.0,0.0
BIOMD0000000491_url.xml,False,0,86,86,0,0.0,0.0
BIOMD0000000342_url.xml,True,0,29,29,0,0.0,0.0
BIOMD0000000235_url.xml,True,3,778,778,0,0.0,0.0038560411311053984
BIOMD0000000061_url.xml,False,0,24,24,0,0.0,0.0
BIOMD0000000060_url.xml,False,0,3,3,0,0.0,0.0
BIOMD0000000427_url.xml,True,2,22,22,0,0.0,0.09090909090909091
BIOMD0000000609_url.xml,True,7,10,10,0,0.0,0.7
BIOMD0000000231_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000503_url.xml,False,2,34,34,0,0.0,0.058823529411764705
BIOMD0000000577_url.xml,False,59,64,64,0,0.0,0.921875
BIOMD0000000602_url.xml,True,0,42,42,0,0.0,0.0
BIOMD0000000112_url.xml,True,1,8,8,0,0.0,0.125
BIOMD0000000528_url.xml,True,0,12,12,0,0.0,0.0
BIOMD0000000581_url.xml,False,0,32,32,0,0.0,0.0
BIOMD0000000391_url.xml,False,4,21,21,0,0.0,0.19047619047619047
BIOMD0000000464_url.xml,False,0,10,10,0,0.0,0.0
BIOMD0000000253_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000113_url.xml,True,4,7,7,0,0.0,0.5714285714285714
BIOMD0000000566_url.xml,False,0,2,2,0,0.0,0.0
BIOMD0000000150_url.xml,False,0,2,2,0,0.0,0.0
BIOMD0000000295_url.xml,False,6,8,8,0,0.0,0.75
BIOMD0000000406_url.xml,False,0,51,51,0,0.0,0.0
BIOMD0000000433_url.xml,False,0,10,10,0,0.0,0.0
BIOMD0000000556_url.xml,False,1,8,8,0,0.0,0.125
BIOMD0000000036_url.xml,False,0,5,5,0,0.0,0.0
BIOMD0000000636_url.xml,True,0,113,113,0,0.0,0.0
BIOMD0000000242_url.xml,False,9,12,12,0,0.0,0.75
BIOMD0000000043_url.xml,True,0,7,7,0,0.0,0.0
BIOMD0000000162_url.xml,True,27,45,45,0,0.0,0.6
BIOMD0000000098_url.xml,False,3,6,6,0,0.0,0.5
BIOMD0000000481_url.xml,True,0,28,28,0,0.0,0.0
BIOMD0000000210_url.xml,True,0,12,12,0,0.0,0.0
BIOMD0000000539_url.xml,False,8,11,11,0,0.0,0.7272727272727273
BIOMD0000000569_url.xml,False,0,62,62,0,0.0,0.0
BIOMD0000000245_url.xml,False,10,20,20,0,0.0,0.5
BIOMD0000000568_url.xml,False,25,69,69,0,0.0,0.36231884057971014
BIOMD0000000091_url.xml,False,1,23,23,0,0.0,0.043478260869565216
BIOMD0000000088_url.xml,False,0,110,110,0,0.0,0.0
BIOMD0000000625_url.xml,False,36,38,38,0,0.0,0.9473684210526315
BIOMD0000000390_url.xml,False,0,6,6,0,0.0,0.0
BIOMD0000000591_url.xml,False,0,9,9,0,0.0,0.0
BIOMD0000000393_url.xml,False,3,36,36,0,0.0,0.08333333333333333
BIOMD0000000411_url.xml,False,0,13,13,0,0.0,0.0
BIOMD0000000323_url.xml,False,3,6,6,0,0.0,0.5
BIOMD0000000168_url.xml,False,9,10,10,0,0.0,0.9
BIOMD0000000443_url.xml,False,5,22,22,0,0.0,0.22727272727272727
BIOMD0000000197_url.xml,False,0,10,10,0,0.0,0.0
BIOMD0000000392_url.xml,False,1,27,27,0,0.0,0.037037037037037035
BIOMD0000000648_url.xml,False,0,64,64,0,0.0,0.0
BIOMD0000000655_url.xml,False,0,63,63,0,0.0,0.0
BIOMD0000000358_url.xml,True,0,8,8,0,0.0,0.0
BIOMD0000000151_url.xml,False,6,72,72,0,0.0,0.08333333333333333
BIOMD0000000221_url.xml,False,0,11,11,0,0.0,0.0
BIOMD0000000076_url.xml,False,0,2,2,0,0.0,0.0
BIOMD0000000084_url.xml,False,0,8,8,0,0.0,0.0
BIOMD0000000573_url.xml,False,4,7,7,0,0.0,0.5714285714285714
BIOMD0000000120_url.xml,True,4,10,10,0,0.0,0.4
BIOMD0000000638_url.xml,False,0,48,48,0,0.0,0.0
BIOMD0000000156_url.xml,False,4,5,5,0,0.0,0.8
BIOMD0000000459_url.xml,False,0,3,3,0,0.0,0.0
BIOMD0000000095_url.xml,False,34,46,46,0,0.0,0.7391304347826086
BIOMD0000000520_url.xml,False,3,7,7,0,0.0,0.42857142857142855
BIOMD0000000476_url.xml,False,31,36,36,0,0.0,0.8611111111111112
BIOMD0000000574_url.xml,True,0,576,576,0,0.0,0.0
BIOMD0000000483_url.xml,False,0,8,8,0,0.0,0.0
BIOMD0000000396_url.xml,False,0,16,16,0,0.0,0.0
BIOMD0000000087_url.xml,False,0,43,43,0,0.0,0.0
BIOMD0000000157_url.xml,False,5,6,6,0,0.0,0.8333333333333334
BIOMD0000000465_url.xml,False,0,12,12,0,0.0,0.0
BIOMD0000000225_url.xml,True,0,3,3,0,0.0,0.0
BIOMD0000000405_url.xml,False,4,8,8,0,0.0,0.5
BIOMD0000000318_url.xml,False,13,17,17,0,0.0,0.7647058823529411
BIOMD0000000146_url.xml,False,0,34,34,0,0.0,0.0
BIOMD0000000320_url.xml,True,7,14,14,0,0.0,0.5
BIOMD0000000603_url.xml,False,34,58,58,0,0.0,0.5862068965517241
BIOMD0000000104_url.xml,False,0,2,2,0,0.0,0.0
BIOMD0000000249_url.xml,False,9,20,20,0,0.0,0.45
BIOMD0000000639_url.xml,True,4,10,10,0,0.0,0.4
BIOMD0000000144_url.xml,False,42,54,54,0,0.0,0.7777777777777778
BIOMD0000000449_url.xml,False,0,34,34,0,0.0,0.0
BIOMD0000000607_url.xml,False,34,58,58,0,0.0,0.5862068965517241
BIOMD0000000002_url.xml,False,0,17,17,0,0.0,0.0
BIOMD0000000218_url.xml,False,0,14,14,0,0.0,0.0
BIOMD0000000366_url.xml,True,0,8,8,0,0.0,0.0
BIOMD0000000097_url.xml,False,34,46,46,0,0.0,0.7391304347826086
BIOMD0000000517_url.xml,False,4,9,9,0,0.0,0.4444444444444444
BIOMD0000000137_url.xml,False,4,20,20,0,0.0,0.2
BIOMD0000000622_url.xml,False,4,17,17,0,0.0,0.23529411764705882
BIOMD0000000637_url.xml,False,0,22,22,0,0.0,0.0
MODEL0403988150_url.xml,True,92,806,806,0,0.0,0.1141439205955335
BIOMD0000000039_url.xml,True,0,7,7,0,0.0,0.0
BIOMD0000000018_url.xml,False,8,47,47,0,0.0,0.1702127659574468
BIOMD0000000219_url.xml,False,0,15,15,0,0.0,0.0
BIOMD0000000046_url.xml,False,0,15,15,0,0.0,0.0
BIOMD0000000122_url.xml,True,0,17,17,0,0.0,0.0
BIOMD0000000167_url.xml,True,0,7,7,0,0.0,0.0
BIOMD0000000267_url.xml,False,0,3,3,0,0.0,0.0
BIOMD0000000519_url.xml,False,3,7,7,0,0.0,0.42857142857142855
BIOMD0000000042_url.xml,False,15,25,25,0,0.0,0.6
BIOMD0000000452_url.xml,True,0,117,117,0,0.0,0.0
BIOMD0000000451_url.xml,False,0,53,53,0,0.0,0.0
BIOMD0000000454_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000383_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000327_url.xml,False,4,11,11,0,0.0,0.36363636363636365
BIOMD0000000077_url.xml,False,2,5,5,0,0.0,0.4
BIOMD0000000623_url.xml,False,0,31,31,0,0.0,0.0
MODEL0403928902_url.xml,True,92,805,805,0,0.0,0.11428571428571428
BIOMD0000000089_url.xml,False,31,36,36,0,0.0,0.8611111111111112
BIOMD0000000107_url.xml,True,6,23,23,0,0.0,0.2608695652173913
MODEL0403954746_url.xml,True,92,805,805,0,0.0,0.11428571428571428
BIOMD0000000415_url.xml,False,0,5,5,0,0.0,0.0
BIOMD0000000031_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000233_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000308_url.xml,False,2,6,6,0,0.0,0.3333333333333333
BIOMD0000000240_url.xml,False,10,14,14,0,0.0,0.7142857142857143
BIOMD0000000015_url.xml,False,5,37,37,0,0.0,0.13513513513513514
BIOMD0000000064_url.xml,False,1,17,17,0,0.0,0.058823529411764705
BIOMD0000000653_url.xml,False,0,62,62,0,0.0,0.0
BIOMD0000000050_url.xml,False,0,16,16,0,0.0,0.0
BIOMD0000000059_url.xml,True,16,18,18,0,0.0,0.8888888888888888
BIOMD0000000190_url.xml,False,2,13,13,0,0.0,0.15384615384615385
BIOMD0000000228_url.xml,False,14,22,22,0,0.0,0.6363636363636364
BIOMD0000000055_url.xml,False,24,32,32,0,0.0,0.75
BIOMD0000000444_url.xml,False,5,22,22,0,0.0,0.22727272727272727
BIOMD0000000567_url.xml,False,0,2,2,0,0.0,0.0
BIOMD0000000565_url.xml,True,39,64,64,0,0.0,0.609375
BIOMD0000000610_url.xml,False,34,58,58,0,0.0,0.5862068965517241
BIOMD0000000350_url.xml,True,27,30,30,0,0.0,0.9
BIOMD0000000023_url.xml,False,0,11,11,0,0.0,0.0
BIOMD0000000008_url.xml,False,9,13,13,0,0.0,0.6923076923076923
BIOMD0000000601_url.xml,True,0,3,3,0,0.0,0.0
BIOMD0000000297_url.xml,False,29,51,51,0,0.0,0.5686274509803921
BIOMD0000000081_url.xml,True,1,15,15,0,0.0,0.06666666666666667
BIOMD0000000174_url.xml,False,4,10,10,0,0.0,0.4
BIOMD0000000646_url.xml,False,10,24,24,0,0.0,0.4166666666666667
BIOMD0000000182_url.xml,True,0,32,32,0,0.0,0.0
BIOMD0000000052_url.xml,True,0,11,11,0,0.0,0.0
BIOMD0000000586_url.xml,False,7,23,23,0,0.0,0.30434782608695654
BIOMD0000000332_url.xml,True,0,69,69,0,0.0,0.0
BIOMD0000000409_url.xml,False,2,31,31,0,0.0,0.06451612903225806
BIOMD0000000024_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000386_url.xml,False,0,4,4,0,0.0,0.0
BIOMD0000000307_url.xml,False,2,5,5,0,0.0,0.4
BIOMD0000000072_url.xml,False,3,7,7,0,0.0,0.42857142857142855
